State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Number,Percent of population,NumberEmployed,Percent of populationEmployed,NumberUnemployed,RateUnemplo
01,31,Alabama,"Men, 55 to 64 years",280    ,163    ,58.2    ,156    ,55.9    ,7    ,4.0    
01,32,Alabama,"Men, 65 years and over",330    ,62    ,18.9    ,61    ,18.6    ,1    ,1.8    
01,33,Alabama,"Women, 16 to 19 years",122    ,35    ,29.1    ,27    ,22.1    ,8    ,24.0    
01,34,Alabama,"Women, 20 to 24 years",182    ,116    ,63.9    ,102    ,56.2    ,14    ,12.0    
01,35,Alabama,"Women, 25 to 34 years",278    ,202    ,72.6    ,177    ,63.9    ,24    ,11.9    
01,36,Alabama,"Women, 35 to 44 years",340    ,250    ,73.7    ,241    ,71.0    ,9    ,3.6    
01,37,Alabama,"Women, 45 to 54 years",328    ,219    ,66.8    ,209    ,63.8    ,10    ,4.6    
01,38,Alabama,"Women, 55 to 64 years",342    ,161    ,47.1    ,155    ,45.2    ,7    ,4.1    
01,39,Alabama,"Women, 65 years and over",400    ,47    ,11.8    ,45    ,11.2    ,2    ,5.3    
01,40,Alabama,"White, 16 to 19 years",160    ,46    ,28.8    ,35    ,22.0    ,11    ,23.6    
01,41,Alabama,"White, 20 to 24 years",228    ,163    ,71.5    ,151    ,66.2    ,12    ,7.4    
01,42,Alabama,"White, 25 to 34 years",381    ,314    ,82.4    ,294    ,77.1    ,20    ,6.5    
01,43,Alabama,"White, 35 to 44 years",439    ,355    ,80.7    ,343    ,78.1    ,11    ,3.2    
01,44,Alabama,"White, 45 to 54 years",459    ,346    ,75.5    ,329    ,71.7    ,17    ,5.0    
01,45,Alabama,"White, 55 to 64 years",453    ,246    ,54.3    ,238    ,52.6    ,8    ,3.1    
01,46,Alabama,"White, 65 years and over",594    ,93    ,15.6    ,91    ,15.3    ,2    ,2.1    
01,48,Alabama,"Black or African American, 20 to 24 years",109    ,68    ,62.0    ,52    ,47.6    ,16    ,23.2    
01,49,Alabama,"Black or African American, 25 to 34 years",170    ,125    ,73.7    ,103    ,60.3    ,23    ,18.2    
01,50,Alabama,"Black or African American, 35 to 44 years",165    ,134    ,81.0    ,126    ,76.1    ,8    ,6.0    
01,51,Alabama,"Black or African American, 45 to 54 years",165    ,110    ,66.9    ,106    ,64.1    ,5    ,4.2    
01,52,Alabama,"Black or African American, 55 to 64 years",159    ,75    ,46.8    ,69    ,43.3    ,6    ,7.4    
02,01,Alaska,Total,541    ,368    ,68.0    ,342    ,63.2    ,26    ,7.1    
02,02,Alaska,Men,276    ,199    ,71.8    ,182    ,66.0    ,16    ,8.1    
02,03,Alaska,Women,264    ,169    ,64.0    ,159    ,60.2    ,10    ,5.9    
02,04,Alaska,White,385    ,268    ,69.6    ,252    ,65.6    ,15    ,5.7    
02,05,Alaska,"White, men",201    ,148    ,73.6    ,138    ,68.7    ,10    ,6.6    
02,06,Alaska,"White, women",184    ,120    ,65.2    ,115    ,62.3    ,5    ,4.5    
02,07,Alaska,Black or African American,19    ,12    ,67.0    ,11    ,61.1    ,1    ,8.8    
02,10,Alaska,Asian,35    ,24    ,68.6    ,23    ,65.9    ,1    ,4.0    
02,12,Alaska,"Asian, women",20    ,13    ,65.9    ,13    ,63.9    ,( 3 ),3.0    
02,13,Alaska,Hispanic or Latino ethnicity,34    ,25    ,73.1    ,22    ,65.8    ,2    ,10.0    
02,14,Alaska,"Hispanic or Latino ethnicity, men",17    ,13    ,77.2    ,12    ,68.9    ,1    ,10.7    
02,16,Alaska,"Married men, spouse present",140    ,108    ,77.4    ,103    ,73.3    ,6    ,5.3    
02,17,Alaska,"Married women, spouse present",137    ,89    ,64.7    ,85    ,61.9    ,4    ,4.4    
02,18,Alaska,Women who maintain families,28    ,21    ,74.6    ,19    ,68.9    ,2    ,7.6    
02,19,Alaska,"Total, 16 to 19 years",41    ,17    ,40.8    ,13    ,32.8    ,3    ,19.5    
02,20,Alaska,"Total, 20 to 24 years",54    ,39    ,73.3    ,35    ,65.0    ,4    ,11.2    
02,21,Alaska,"Total, 25 to 34 years",108    ,86    ,80.0    ,80    ,74.2    ,6    ,7.3    
02,22,Alaska,"Total, 35 to 44 years",83    ,69    ,82.8    ,64    ,77.7    ,4    ,6.2    
02,23,Alaska,"Total, 45 to 54 years",94    ,78    ,83.2    ,75    ,79.6    ,3    ,4.4    
02,24,Alaska,"Total, 55 to 64 years",92    ,62    ,67.2    ,59    ,63.5    ,3    ,5.4    
02,25,Alaska,"Total, 65 years and over",70    ,17    ,24.6    ,16    ,23.0    ,1    ,6.6    
02,27,Alaska,"Men, 20 to 24 years",26    ,20    ,80.0    ,18    ,69.1    ,3    ,13.6    
02,28,Alaska,"Men, 25 to 34 years",54    ,48    ,89.0    ,44    ,82.5    ,4    ,7.3    
02,29,Alaska,"Men, 35 to 44 years",41    ,36    ,86.1    ,33    ,80.0    ,3    ,7.1    
02,30,Alaska,"Men, 45 to 54 years",47    ,42    ,88.2    ,40    ,83.9    ,2    ,4.9    
02,31,Alaska,"Men, 55 to 64 years",49    ,33    ,67.7    ,31    ,62.9    ,2    ,7.2    
02,34,Alaska,"Women, 20 to 24 years",28    ,19    ,67.2    ,17    ,61.3    ,2    ,8.7    
02,35,Alaska,"Women, 25 to 34 years",54    ,38    ,71.0    ,35    ,65.8    ,3    ,7.3    
02,36,Alaska,"Women, 35 to 44 years",41    ,33    ,79.6    ,31    ,75.4    ,2    ,5.2    
02,37,Alaska,"Women, 45 to 54 years",47    ,36    ,78.2    ,35    ,75.3    ,1    ,3.8    
02,38,Alaska,"Women, 55 to 64 years",43    ,29    ,66.6    ,28    ,64.3    ,1    ,3.4    
02,41,Alaska,"White, 20 to 24 years",33    ,25    ,76.1    ,23    ,69.8    ,2    ,8.2    
02,42,Alaska,"White, 25 to 34 years",74    ,61    ,82.4    ,57    ,77.7    ,3    ,5.7    
02,43,Alaska,"White, 35 to 44 years",57    ,49    ,84.8    ,46    ,80.5    ,2    ,5.1    
02,44,Alaska,"White, 45 to 54 years",72    ,62    ,85.5    ,59    ,82.2    ,2    ,3.8    
02,45,Alaska,"White, 55 to 64 years",69    ,48    ,69.0    ,45    ,65.6    ,2    ,4.9    
02,46,Alaska,"White, 65 years and over",55    ,13    ,24.1    ,13    ,22.9    ,1    ,4.7    
04,01,Arizona,Total,"5,176    ","3,105    ",60.0    ,"2,888    ",55.8    ,217    ,7.0    
04,02,Arizona,Men,"2,519    ","1,673    ",66.4    ,"1,557    ",61.8    ,116    ,6.9    
04,03,Arizona,Women,"2,657    ","1,432    ",53.9    ,"1,331    ",50.1    ,101    ,7.1    
04,04,Arizona,White,"4,388    ","2,634    ",60.0    ,"2,464    ",56.2    ,170    ,6.4    
04,05,Arizona,"White, men","2,134    ","1,427    ",66.9    ,"1,334    ",62.5    ,93    ,6.5    
04,06,Arizona,"White, women","2,255    ","1,207    ",53.5    ,"1,130    ",50.1    ,77    ,6.3    
04,07,Arizona,Black or African American,233    ,142    ,60.8    ,134    ,57.4    ,8    ,5.6    
04,08,Arizona,"Black or African American, men",119    ,80    ,66.9    ,76    ,63.7    ,4    ,4.8    
04,09,Arizona,"Black or African American, women",115    ,62    ,54.4    ,58    ,50.8    ,4    ,6.5    
04,10,Arizona,Asian,193    ,120    ,62.1    ,115    ,59.6    ,5    ,4.0    
04,11,Arizona,"Asian, men",80    ,56    ,69.4    ,54    ,67.2    ,2    ,3.2    
04,12,Arizona,"Asian, women",113    ,64    ,56.9    ,61    ,54.3    ,3    ,4.6    
04,13,Arizona,Hispanic or Latino ethnicity,"1,716    ","1,062    ",61.9    ,974    ,56.8    ,88    ,8.3    
04,14,Arizona,"Hispanic or Latino ethnicity, men",838    ,602    ,71.8    ,551    ,65.8    ,51    ,8.4    
04,15,Arizona,"Hispanic or Latino ethnicity, women",878    ,461    ,52.4    ,423    ,48.2    ,38    ,8.1    
04,16,Arizona,"Married men, spouse present","1,272    ",889    ,69.9    ,853    ,67.0    ,36    ,4.1    
04,17,Arizona,"Married women, spouse present","1,282    ",676    ,52.7    ,643    ,50.1    ,33    ,4.8    
04,18,Arizona,Women who maintain families,327    ,218    ,66.6    ,199    ,60.8    ,19    ,8.8    
04,19,Arizona,"Total, 16 to 19 years",389    ,133    ,34.1    ,102    ,26.1    ,31    ,23.3    
04,20,Arizona,"Total, 20 to 24 years",463    ,335    ,72.3    ,287    ,62.0    ,48    ,14.2    
04,21,Arizona,"Total, 25 to 34 years",837    ,654    ,78.1    ,616    ,73.6    ,37    ,5.7    
04,22,Arizona,"Total, 35 to 44 years",816    ,638    ,78.1    ,612    ,75.0    ,26    ,4.0    
04,23,Arizona,"Total, 45 to 54 years",899    ,709    ,78.9    ,676    ,75.2    ,33    ,4.7    
04,24,Arizona,"Total, 55 to 64 years",808    ,476    ,59.0    ,448    ,55.4    ,28    ,6.0    
04,25,Arizona,"Total, 65 years and over",965    ,161    ,16.7    ,147    ,15.2    ,14    ,8.9    
04,26,Arizona,"Men, 16 to 19 years",202    ,72    ,35.6    ,56    ,27.9    ,15    ,21.6    
04,27,Arizona,"Men, 20 to 24 years",231    ,170    ,73.4    ,144    ,62.2    ,26    ,15.3    
04,28,Arizona,"Men, 25 to 34 years",404    ,344    ,85.1    ,322    ,79.8    ,21    ,6.2    
04,29,Arizona,"Men, 35 to 44 years",417    ,373    ,89.5    ,360    ,86.5    ,13    ,3.4    
04,30,Arizona,"Men, 45 to 54 years",446    ,382    ,85.5    ,363    ,81.4    ,18    ,4.8    
04,31,Arizona,"Men, 55 to 64 years",389    ,247    ,63.6    ,231    ,59.3    ,17    ,6.7    
04,32,Arizona,"Men, 65 years and over",431    ,86    ,20.0    ,80    ,18.6    ,6    ,7.0    
04,33,Arizona,"Women, 16 to 19 years",188    ,61    ,32.4    ,45    ,24.2    ,15    ,25.4    
04,34,Arizona,"Women, 20 to 24 years",232    ,165    ,71.2    ,143    ,61.9    ,22    ,13.2    
04,35,Arizona,"Women, 25 to 34 years",433    ,310    ,71.6    ,294    ,67.8    ,16    ,5.2    
04,36,Arizona,"Women, 35 to 44 years",400    ,265    ,66.3    ,252    ,63.0    ,13    ,4.9    
04,37,Arizona,"Women, 45 to 54 years",452    ,327    ,72.3    ,312    ,69.0    ,15    ,4.5    
04,38,Arizona,"Women, 55 to 64 years",419    ,229    ,54.6    ,217    ,51.8    ,12    ,5.2    
04,39,Arizona,"Women, 65 years and over",534    ,75    ,14.1    ,67    ,12.6    ,8    ,11.0    
04,40,Arizona,"White, 16 to 19 years",317    ,118    ,37.3    ,92    ,29.0    ,26    ,22.3    
04,41,Arizona,"White, 20 to 24 years",372    ,273    ,73.5    ,241    ,64.9    ,32    ,11.6    
04,42,Arizona,"White, 25 to 34 years",698    ,551    ,78.8    ,522    ,74.8    ,28    ,5.2    
04,43,Arizona,"White, 35 to 44 years",682    ,528    ,77.5    ,512    ,75.1    ,16    ,3.1    
04,44,Arizona,"White, 45 to 54 years",749    ,599    ,79.9    ,570    ,76.1    ,29    ,4.8    
04,45,Arizona,"White, 55 to 64 years",710    ,417    ,58.7    ,392    ,55.2    ,25    ,6.1    
04,46,Arizona,"White, 65 years and over",860    ,148    ,17.2    ,135    ,15.7    ,13    ,8.6    
04,61,Arizona,"Hispanic or Latino ethnicity, 16 to 19 years",194    ,54    ,27.9    ,38    ,19.6    ,16    ,29.5    
04,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",198    ,135    ,68.3    ,113    ,57.0    ,23    ,16.7    
04,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",350    ,267    ,76.3    ,247    ,70.6    ,20    ,7.4    
04,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",318    ,251    ,79.0    ,242    ,76.1    ,9    ,3.6    
04,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",273    ,210    ,76.9    ,200    ,73.2    ,10    ,4.8    
04,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",200    ,116    ,57.7    ,108    ,54.0    ,8    ,6.5    
05,01,Arkansas,Total,"2,285    ","1,293    ",56.6    ,"1,216    ",53.2    ,77    ,6.0    
05,02,Arkansas,Men,"1,099    ",676    ,61.6    ,640    ,58.2    ,37    ,5.4    
05,03,Arkansas,Women,"1,186    ",617    ,52.0    ,576    ,48.5    ,41    ,6.6    
05,04,Arkansas,White,"1,854    ","1,055    ",56.9    ,997    ,53.8    ,57    ,5.4    
05,05,Arkansas,"White, men",899    ,566    ,62.9    ,539    ,59.9    ,27    ,4.9    
05,06,Arkansas,"White, women",955    ,489    ,51.2    ,459    ,48.0    ,30    ,6.1    
05,07,Arkansas,Black or African American,329    ,182    ,55.4    ,164    ,49.9    ,18    ,9.9    
05,08,Arkansas,"Black or African American, men",148    ,82    ,55.1    ,74    ,49.6    ,8    ,9.9    
05,09,Arkansas,"Black or African American, women",180    ,100    ,55.7    ,91    ,50.2    ,10    ,9.9    
05,13,Arkansas,Hispanic or Latino ethnicity,160    ,109    ,68.2    ,103    ,64.8    ,5    ,5.0    
05,14,Arkansas,"Hispanic or Latino ethnicity, men",87    ,66    ,76.1    ,63    ,72.5    ,3    ,4.7    
05,15,Arkansas,"Hispanic or Latino ethnicity, women",73    ,43    ,58.8    ,40    ,55.5    ,2    ,5.5    
05,16,Arkansas,"Married men, spouse present",603    ,389    ,64.6    ,376    ,62.4    ,13    ,3.3    
05,17,Arkansas,"Married women, spouse present",591    ,310    ,52.4    ,297    ,50.2    ,13    ,4.3    
05,18,Arkansas,Women who maintain families,182    ,119    ,65.3    ,108    ,59.3    ,11    ,9.1    
05,19,Arkansas,"Total, 16 to 19 years",156    ,52    ,33.4    ,45    ,29.0    ,7    ,13.1    
05,20,Arkansas,"Total, 20 to 24 years",202    ,139    ,68.8    ,124    ,61.3    ,15    ,10.9    
05,21,Arkansas,"Total, 25 to 34 years",374    ,296    ,79.2    ,281    ,75.0    ,16    ,5.3    
05,22,Arkansas,"Total, 35 to 44 years",350    ,273    ,78.1    ,262    ,74.7    ,12    ,4.4    
05,23,Arkansas,"Total, 45 to 54 years",390    ,275    ,70.5    ,260    ,66.6    ,15    ,5.5    
05,24,Arkansas,"Total, 55 to 64 years",355    ,194    ,54.5    ,184    ,51.9    ,9    ,4.9    
05,25,Arkansas,"Total, 65 years and over",458    ,64    ,13.9    ,61    ,13.2    ,3    ,5.0    
05,27,Arkansas,"Men, 20 to 24 years",100    ,77    ,76.7    ,70    ,69.6    ,7    ,9.2    
05,28,Arkansas,"Men, 25 to 34 years",172    ,155    ,90.3    ,148    ,86.2    ,7    ,4.5    
05,29,Arkansas,"Men, 35 to 44 years",170    ,149    ,87.9    ,144    ,84.6    ,6    ,3.7    
05,30,Arkansas,"Men, 45 to 54 years",189    ,137    ,72.6    ,130    ,68.8    ,7    ,5.2    
05,31,Arkansas,"Men, 55 to 64 years",170    ,99    ,58.2    ,94    ,55.2    ,5    ,5.1    
05,32,Arkansas,"Men, 65 years and over",206    ,34    ,16.4    ,32    ,15.5    ,2    ,5.5    
05,34,Arkansas,"Women, 20 to 24 years",102    ,62    ,61.0    ,54    ,53.2    ,8    ,12.9    
05,35,Arkansas,"Women, 25 to 34 years",202    ,141    ,69.8    ,132    ,65.5    ,9    ,6.2    
05,36,Arkansas,"Women, 35 to 44 years",180    ,124    ,68.9    ,118    ,65.3    ,6    ,5.2    
05,37,Arkansas,"Women, 45 to 54 years",201    ,138    ,68.5    ,129    ,64.5    ,8    ,5.8    
05,38,Arkansas,"Women, 55 to 64 years",185    ,95    ,51.2    ,91    ,48.8    ,4    ,4.6    
05,39,Arkansas,"Women, 65 years and over",252    ,30    ,11.9    ,29    ,11.4    ,1    ,4.3    
05,40,Arkansas,"White, 16 to 19 years",111    ,41    ,36.9    ,38    ,33.8    ,3    ,8.5    
05,41,Arkansas,"White, 20 to 24 years",160    ,111    ,69.3    ,99    ,62.0    ,12    ,10.6    
05,42,Arkansas,"White, 25 to 34 years",291    ,236    ,81.0    ,225    ,77.2    ,11    ,4.7    
05,43,Arkansas,"White, 35 to 44 years",272    ,218    ,80.2    ,208    ,76.4    ,10    ,4.7    
05,44,Arkansas,"White, 45 to 54 years",322    ,229    ,71.1    ,217    ,67.3    ,12    ,5.3    
05,45,Arkansas,"White, 55 to 64 years",297    ,164    ,55.2    ,158    ,53.3    ,6    ,3.5    
05,46,Arkansas,"White, 65 years and over",402    ,56    ,14.1    ,54    ,13.3    ,3    ,5.2    
05,49,Arkansas,"Black or African American, 25 to 34 years",62    ,47    ,75.5    ,42    ,68.0    ,5    ,10.0    
05,50,Arkansas,"Black or African American, 35 to 44 years",52    ,36    ,70.0    ,35    ,68.3    ,1    ,2.5    
05,51,Arkansas,"Black or African American, 45 to 54 years",52    ,35    ,68.0    ,32    ,62.3    ,3    ,8.4    
05,64,Arkansas,"Hispanic or Latino ethnicity, 35 to 44 years",37    ,30    ,80.2    ,29    ,79.0    ,( 3 ),1.6    
06,01,California,Total,"30,158    ","18,797    ",62.3    ,"17,391    ",57.7    ,"1,406    ",7.5    
06,02,California,Men,"14,739    ","10,232    ",69.4    ,"9,484    ",64.4    ,748    ,7.3    
06,03,California,Women,"15,420    ","8,565    ",55.5    ,"7,907    ",51.3    ,658    ,7.7    
06,04,California,White,"22,378    ","13,998    ",62.6    ,"13,008    ",58.1    ,990    ,7.1    
06,05,California,"White, men","11,059    ","7,773    ",70.3    ,"7,242    ",65.5    ,530    ,6.8    
06,06,California,"White, women","11,319    ","6,225    ",55.0    ,"5,765    ",50.9    ,460    ,7.4    
06,07,California,Black or African American,"1,912    ","1,117    ",58.4    ,965    ,50.5    ,152    ,13.6    
06,08,California,"Black or African American, men",901    ,563    ,62.5    ,493    ,54.7    ,70    ,12.5    
06,09,California,"Black or African American, women","1,011    ",555    ,54.8    ,473    ,46.7    ,82    ,14.8    
06,10,California,Asian,"4,442    ","2,750    ",61.9    ,"2,586    ",58.2    ,164    ,6.0    
06,11,California,"Asian, men","2,071    ","1,404    ",67.8    ,"1,314    ",63.4    ,90    ,6.4    
06,12,California,"Asian, women","2,371    ","1,346    ",56.8    ,"1,272    ",53.7    ,74    ,5.5    
06,13,California,Hispanic or Latino ethnicity,"10,553    ","6,863    ",65.0    ,"6,280    ",59.5    ,583    ,8.5    
06,14,California,"Hispanic or Latino ethnicity, men","5,297    ","3,959    ",74.7    ,"3,649    ",68.9    ,311    ,7.8    
06,15,California,"Hispanic or Latino ethnicity, women","5,256    ","2,903    ",55.2    ,"2,631    ",50.1    ,272    ,9.4    
06,16,California,"Married men, spouse present","7,359    ","5,555    ",75.5    ,"5,297    ",72.0    ,258    ,4.7    
06,17,California,"Married women, spouse present","7,204    ","4,069    ",56.5    ,"3,856    ",53.5    ,214    ,5.2    
06,18,California,Women who maintain families,"1,788    ","1,158    ",64.8    ,"1,032    ",57.7    ,126    ,10.9    
06,19,California,"Total, 16 to 19 years","2,146    ",528    ,24.6    ,391    ,18.2    ,137    ,25.9    
06,20,California,"Total, 20 to 24 years","3,051    ","2,047    ",67.1    ,"1,810    ",59.3    ,237    ,11.6    
06,21,California,"Total, 25 to 34 years","5,354    ","4,230    ",79.0    ,"3,903    ",72.9    ,327    ,7.7    
06,22,California,"Total, 35 to 44 years","5,049    ","4,044    ",80.1    ,"3,800    ",75.3    ,243    ,6.0    
06,23,California,"Total, 45 to 54 years","5,168    ","4,056    ",78.5    ,"3,822    ",74.0    ,234    ,5.8    
06,24,California,"Total, 55 to 64 years","4,504    ","2,945    ",65.4    ,"2,772    ",61.5    ,173    ,5.9    
06,25,California,"Total, 65 years and over","4,886    ",947    ,19.4    ,893    ,18.3    ,54    ,5.7    
06,26,California,"Men, 16 to 19 years","1,119    ",269    ,24.0    ,198    ,17.7    ,71    ,26.3    
06,27,California,"Men, 20 to 24 years","1,535    ","1,083    ",70.5    ,955    ,62.2    ,127    ,11.8    
06,28,California,"Men, 25 to 34 years","2,730    ","2,360    ",86.4    ,"2,186    ",80.1    ,173    ,7.4    
06,29,California,"Men, 35 to 44 years","2,461    ","2,240    ",91.0    ,"2,110    ",85.7    ,130    ,5.8    
06,30,California,"Men, 45 to 54 years","2,514    ","2,169    ",86.3    ,"2,050    ",81.5    ,119    ,5.5    
06,31,California,"Men, 55 to 64 years","2,190    ","1,584    ",72.3    ,"1,487    ",67.9    ,97    ,6.1    
06,32,California,"Men, 65 years and over","2,189    ",528    ,24.1    ,498    ,22.7    ,30    ,5.7    
06,33,California,"Women, 16 to 19 years","1,028    ",259    ,25.2    ,193    ,18.8    ,66    ,25.6    
06,34,California,"Women, 20 to 24 years","1,516    ",965    ,63.7    ,855    ,56.4    ,110    ,11.4    
06,35,California,"Women, 25 to 34 years","2,624    ","1,870    ",71.3    ,"1,716    ",65.4    ,154    ,8.2    
06,36,California,"Women, 35 to 44 years","2,588    ","1,804    ",69.7    ,"1,690    ",65.3    ,113    ,6.3    
06,37,California,"Women, 45 to 54 years","2,654    ","1,887    ",71.1    ,"1,772    ",66.8    ,115    ,6.1    
06,38,California,"Women, 55 to 64 years","2,314    ","1,361    ",58.8    ,"1,285    ",55.5    ,76    ,5.6    
06,39,California,"Women, 65 years and over","2,697    ",419    ,15.5    ,395    ,14.7    ,24    ,5.6    
06,40,California,"White, 16 to 19 years","1,574    ",396    ,25.2    ,295    ,18.8    ,101    ,25.5    
06,41,California,"White, 20 to 24 years","2,262    ","1,582    ",70.0    ,"1,420    ",62.8    ,162    ,10.2    
06,42,California,"White, 25 to 34 years","3,877    ","3,082    ",79.5    ,"2,871    ",74.1    ,211    ,6.8    
06,43,California,"White, 35 to 44 years","3,687    ","2,953    ",80.1    ,"2,771    ",75.1    ,183    ,6.2    
06,44,California,"White, 45 to 54 years","3,833    ","3,035    ",79.2    ,"2,862    ",74.6    ,174    ,5.7    
06,45,California,"White, 55 to 64 years","3,385    ","2,200    ",65.0    ,"2,081    ",61.5    ,119    ,5.4    
06,46,California,"White, 65 years and over","3,760    ",749    ,19.9    ,708    ,18.8    ,41    ,5.4    
06,48,California,"Black or African American, 20 to 24 years",200    ,123    ,61.6    ,99    ,49.4    ,24    ,19.9    
06,49,California,"Black or African American, 25 to 34 years",390    ,301    ,77.0    ,244    ,62.4    ,57    ,19.0    
06,50,California,"Black or African American, 35 to 44 years",300    ,229    ,76.5    ,211    ,70.3    ,19    ,8.2    
06,51,California,"Black or African American, 45 to 54 years",330    ,223    ,67.5    ,205    ,62.2    ,18    ,7.9    
06,52,California,"Black or African American, 55 to 64 years",278    ,160    ,57.5    ,140    ,50.5    ,20    ,12.2    
06,53,California,"Black or African American, 65 years and over",289    ,54    ,18.6    ,49    ,17.0    ,5    ,8.7    
06,54,California,"Asian, 16 to 19 years",254    ,40    ,15.9    ,32    ,12.7    ,8    ,20.4    
06,55,California,"Asian, 20 to 24 years",379    ,199    ,52.6    ,173    ,45.6    ,26    ,13.3    
06,56,California,"Asian, 25 to 34 years",821    ,625    ,76.1    ,588    ,71.6    ,37    ,5.9    
06,57,California,"Asian, 35 to 44 years",804    ,657    ,81.7    ,629    ,78.3    ,28    ,4.2    
06,58,California,"Asian, 45 to 54 years",756    ,613    ,81.1    ,582    ,77.0    ,31    ,5.0    
06,59,California,"Asian, 55 to 64 years",693    ,492    ,71.0    ,465    ,67.1    ,26    ,5.4    
06,60,California,"Asian, 65 years and over",735    ,124    ,16.8    ,116    ,15.9    ,7    ,5.9    
06,61,California,"Hispanic or Latino ethnicity, 16 to 19 years","1,046    ",254    ,24.3    ,185    ,17.7    ,69    ,27.0    
06,62,California,"Hispanic or Latino ethnicity, 20 to 24 years","1,353    ",953    ,70.4    ,849    ,62.8    ,103    ,10.9    
06,63,California,"Hispanic or Latino ethnicity, 25 to 34 years","2,307    ","1,828    ",79.3    ,"1,682    ",72.9    ,146    ,8.0    
06,64,California,"Hispanic or Latino ethnicity, 35 to 44 years","2,069    ","1,635    ",79.0    ,"1,527    ",73.8    ,107    ,6.6    
06,65,California,"Hispanic or Latino ethnicity, 45 to 54 years","1,733    ","1,354    ",78.1    ,"1,259    ",72.6    ,95    ,7.0    
06,66,California,"Hispanic or Latino ethnicity, 55 to 64 years","1,099    ",682    ,62.0    ,631    ,57.4    ,51    ,7.5    
06,67,California,"Hispanic or Latino ethnicity, 65 years and over",946    ,158    ,16.7    ,146    ,15.5    ,12    ,7.3    
08,01,Colorado,Total,"4,145    ","2,822    ",68.1    ,"2,683    ",64.7    ,139    ,4.9    
08,02,Colorado,Men,"2,042    ","1,522    ",74.5    ,"1,446    ",70.8    ,75    ,5.0    
08,03,Colorado,Women,"2,102    ","1,300    ",61.8    ,"1,237    ",58.8    ,63    ,4.9    
08,04,Colorado,White,"3,729    ","2,553    ",68.5    ,"2,436    ",65.3    ,117    ,4.6    
08,05,Colorado,"White, men","1,837    ","1,372    ",74.7    ,"1,308    ",71.2    ,65    ,4.7    
08,06,Colorado,"White, women","1,892    ","1,181    ",62.4    ,"1,129    ",59.7    ,52    ,4.4    
